id,company_rating,company_location,total_fleet_count,iata_approved
35029,1.0,Niue,4.0,False
30292,0.67,Anguilla,6.0,False
19032,0.67,Russian Federation,4.0,False
8238,0.91,Barbados,15.0,True
30342,,Sao Tome and Principe,2.0,True
32413,1.0,Faroe Islands,1.0,False
35620,0.9,Micronesia,3.0,False
23820,,Rwanda,1.0,True
46528,1.0,Uzbekistan,3.0,True
11875,1.0,Micronesia,2.0,True
21120,1.0,Kiribati,2.0,True
10864,1.0,Nicaragua,2.0,True
6027,0.82,Wallis and Futuna,2.0,False
14122,1.0,Malta,1.0,True
47761,1.0,Niue,2.0,False
33827,1.0,United Kingdom,1.0,False
13336,,Malta,1.0,False
46548,,Estonia,1.0,False
26648,1.0,Niue,2.0,True
26648,1.0,Niue,2.0,True
19479,0.8,Niue,4.0,False
13109,1.0,Bouvet Island (Bouvetoya),1.0,False
19479,0.8,Niue,4.0,False
35620,0.9,Micronesia,3.0,False
24304,1.0,Micronesia,1.0,True
17518,0.9,United Kingdom,2.0,True
42867,1.0,Indonesia,2.0,True
31177,,Costa Rica,1.0,False
41961,,Marshall Islands,2.0,True
47761,1.0,Niue,2.0,False
16351,,,1.0,True
5252,,Kenya,1.0,True
29378,,,1.0,False
11275,1.0,Brazil,3.0,True
28675,1.0,Guinea,1.0,True
2418,1.0,Mexico,2.0,False
2418,1.0,Mexico,2.0,False
21747,0.67,Gambia,1.0,True
47174,,Isle of Man,2.0,True
40644,,Bosnia and Herzegovina,1.0,True
49598,,Switzerland,4.0,True
8363,0.71,Guinea,3.0,False
22699,0.0,Russian Federation,1.0,False
27772,1.0,Chad,2.0,True
33784,1.0,Pakistan,1.0,False
6186,,Bosnia and Herzegovina,3.0,True
2817,,El Salvador,1.0,False
6399,0.95,Marshall Islands,5.0,False
859,0.75,Lebanon,2.0,True
12135,,Bosnia and Herzegovina,1.0,True
33904,1.0,Russian Federation,1.0,True
1442,1.0,Andorra,2.0,True
1442,1.0,Andorra,2.0,True
8363,0.71,Guinea,3.0,False
6637,1.0,Cyprus,3.0,True
7788,,Cook Islands,3.0,True
42832,,Denmark,2.0,False
8363,0.71,Guinea,3.0,False
42114,1.0,Sao Tome and Principe,3.0,True
29416,1.0,Anguilla,1.0,False
14271,,El Salvador,1.0,False
9814,1.0,Lebanon,2.0,True
39856,1.0,Bosnia and Herzegovina,1.0,True
37646,1.0,Estonia,60.0,False
19579,1.0,Kenya,2.0,False
29560,,Croatia,4.0,True
21836,1.0,Mauritania,3.0,False
14917,,Monaco,1.0,True
6399,0.95,Marshall Islands,5.0,False
7788,,Cook Islands,3.0,True
15268,,Lebanon,1.0,True
28884,1.0,Micronesia,2.0,True
48911,1.0,,1.0,False
8238,0.91,Barbados,15.0,True
17025,1.0,Sao Tome and Principe,1.0,True
37349,1.0,,1.0,False
37321,1.0,Tunisia,1.0,True
24968,,Gibraltar,1.0,True
18897,1.0,Canada,1.0,True
41961,,Marshall Islands,2.0,True
5431,1.0,Uzbekistan,2.0,True
13796,1.0,Kiribati,2.0,True
42114,1.0,Sao Tome and Principe,3.0,True
29049,,Zimbabwe,1.0,False
8555,1.0,Guernsey,1.0,True
28032,,France,1.0,True
36452,1.0,Pakistan,1.0,False
44099,1.0,Reunion,1.0,False
13926,,Niger,1.0,True
20214,1.0,Sao Tome and Principe,1.0,False
13381,0.4,Guinea,1.0,False
42832,,Denmark,2.0,False
12764,,Finland,1.0,True
12916,,,9.0,True
46575,1.0,Isle of Man,1.0,False
15306,,Barbados,8.0,True
31859,1.0,Maldives,2.0,False
20692,1.0,Marshall Islands,7.0,True
4795,1.0,Malta,1.0,False
30537,1.0,Tonga,3.0,True
45855,1.0,,1.0,False
35147,0.95,Mauritania,5.0,True
35321,1.0,Russian Federation,2.0,True
3652,1.0,Guinea,2.0,True
15604,1.0,Russian Federation,2.0,True
23644,1.0,Mauritania,4.0,True
26909,1.0,Lebanon,1.0,True
2771,0.8,Niue,1.0,False
36905,1.0,Senegal,1.0,True
48372,1.0,Barbados,12.0,True
6492,1.0,Marshall Islands,1.0,False
1597,1.0,,1.0,False
4242,0.67,Ecuador,1.0,True
38864,,Uganda,1.0,False
40326,0.33,,1.0,False
27965,1.0,Faroe Islands,3.0,False
46456,0.0,Monaco,1.0,False
26562,,,1.0,False
16247,1.0,Slovakia (Slovak Republic),3.0,False
19032,0.67,Russian Federation,4.0,False
1952,1.0,Denmark,2.0,True
21495,,Estonia,1.0,True
16247,1.0,Slovakia (Slovak Republic),3.0,False
36279,,Christmas Island,1.0,True
22168,,Kenya,1.0,False
5570,1.0,Finland,1.0,True
20736,1.0,Russian Federation,3.0,True
43515,1.0,Uruguay,1.0,False
32290,0.0,,1.0,False
41956,,Lebanon,1.0,True
33906,0.8,Marshall Islands,1.0,False
23133,,Rwanda,1.0,True
5698,1.0,Cape Verde,1.0,True
464,,Gibraltar,1.0,False
49323,1.0,Croatia,2.0,True
18899,,Bosnia and Herzegovina,1.0,False
20242,1.0,Croatia,1.0,False
599,,El Salvador,2.0,False
11781,1.0,Guinea,2.0,True
36599,,Lebanon,1.0,False
39533,,Rwanda,1.0,True
9447,1.0,Grenada,1.0,False
41760,,Uzbekistan,1.0,False
24038,0.67,Tanzania,1.0,True
32063,1.0,Niue,2.0,True
44947,1.0,Malta,1.0,True
49938,1.0,Anguilla,1.0,False
2926,0.86,Niue,1.0,False
45976,0.83,Brazil,1.0,False
21120,1.0,Kiribati,2.0,True
43109,0.8,Russian Federation,1.0,True
20697,0.9,Lebanon,1.0,True
992,0.0,Croatia,2.0,False
9736,0.5,Congo,2.0,True
50009,0.0,Niue,1.0,False
5991,,Lebanon,3.0,True
33462,1.0,Nicaragua,1.0,True
14016,,Turkmenistan,3.0,True
30628,1.0,Marshall Islands,1.0,False
11884,1.0,Zimbabwe,1.0,True
8662,1.0,Croatia,2.0,True
23614,1.0,Ecuador,4.0,True
9261,1.0,Tonga,1.0,False
41244,1.0,Guernsey,3.0,True
16422,1.0,Russian Federation,6.0,False
14240,1.0,Chile,3.0,True
41697,1.0,Bahrain,1.0,False
20450,,Vanuatu,1.0,False
15854,1.0,Marshall Islands,1.0,False
14191,1.0,Slovakia (Slovak Republic),1.0,False
36823,1.0,Russian Federation,2.0,True
36548,,Uzbekistan,1.0,True
25038,1.0,Bouvet Island (Bouvetoya),1.0,False
49186,1.0,Isle of Man,1.0,False
26832,,,1.0,True
49323,1.0,Croatia,2.0,True
4231,1.0,Guinea,1.0,True
23044,1.0,Fiji,2.0,True
8238,0.91,Barbados,15.0,True
42077,1.0,Philippines,2.0,True
14369,,Micronesia,2.0,True
40973,0.9,Uzbekistan,1.0,True
23812,,,2.0,True
37577,1.0,Lebanon,3.0,True
29642,1.0,Costa Rica,1.0,True
28781,,Anguilla,2.0,False
37646,1.0,Estonia,60.0,False
17967,1.0,El Salvador,2.0,False
15391,0.9,Niger,2.0,True
21019,,Niue,1.0,True
36139,,Montserrat,2.0,False
30801,1.0,Mauritania,2.0,True
14240,1.0,Chile,3.0,True
39395,1.0,Mauritania,3.0,True
40007,1.0,Marshall Islands,1.0,False
37392,1.0,Micronesia,7.0,True
674,1.0,Gibraltar,4.0,False
18410,1.0,Russian Federation,1.0,True
16661,1.0,Russian Federation,2.0,True
2145,0.67,Faroe Islands,3.0,True
28201,1.0,Kenya,1.0,False
45585,1.0,Denmark,1.0,False
18765,1.0,Bosnia and Herzegovina,1.0,True
21202,,Mauritania,1.0,False
27589,0.8,Estonia,1.0,False
30065,,Russian Federation,1.0,True
23044,1.0,Fiji,2.0,True
2977,,Reunion,2.0,False
8023,,Isle of Man,1.0,True
22680,,Sao Tome and Principe,1.0,False
19875,0.9,Kenya,1.0,False
9011,1.0,Russian Federation,1.0,False
42965,1.0,Uzbekistan,11.0,True
26524,1.0,Guinea,2.0,True
41815,,Russian Federation,1.0,False
35807,1.0,Sao Tome and Principe,2.0,False
13525,1.0,Nauru,1.0,False
29563,1.0,Jersey,2.0,False
22568,1.0,Malta,1.0,True
20736,1.0,Russian Federation,3.0,True
29112,1.0,Chad,2.0,False
30801,1.0,Mauritania,2.0,True
40842,1.0,Mexico,1.0,False
794,1.0,Indonesia,1.0,False
21596,1.0,Guinea,1.0,True
283,1.0,United Kingdom,1.0,True
20847,1.0,Bouvet Island (Bouvetoya),2.0,True
14602,1.0,Malawi,1.0,True
20736,1.0,Russian Federation,3.0,True
27556,,Russian Federation,1.0,False
13504,1.0,Ukraine,3.0,False
13585,,Rwanda,2.0,False
37646,1.0,Estonia,60.0,False
36336,1.0,Jersey,1.0,False
49491,1.0,,1.0,True
23663,1.0,Philippines,1.0,True
10211,1.0,Mauritania,1.0,False
13504,1.0,Ukraine,3.0,False
36732,,China,1.0,True
45546,1.0,Cape Verde,19.0,True
42201,,United Kingdom,1.0,False
23644,1.0,Mauritania,4.0,True
1536,1.0,Grenada,2.0,False
37646,1.0,Estonia,60.0,False
39713,1.0,Denmark,4.0,False
48832,,Lebanon,1.0,False
1592,,Tonga,1.0,False
29590,,,1.0,False
23891,0.9,Zimbabwe,3.0,True
36484,1.0,Bouvet Island (Bouvetoya),1.0,False
19579,1.0,Kenya,2.0,False
6518,1.0,Uzbekistan,1.0,False
15814,1.0,Brazil,4.0,False
13692,1.0,Uganda,1.0,False
10947,,Bosnia and Herzegovina,1.0,False
2097,1.0,Guernsey,1.0,True
32603,0.83,Nicaragua,4.0,True
38131,1.0,Antarctica (the territory South of 60 deg S),3.0,True
41093,1.0,Tunisia,2.0,True
20345,0.0,Niue,1.0,False
13585,,Rwanda,2.0,False
3329,,Uzbekistan,4.0,False
12401,1.0,Rwanda,2.0,False
40954,0.0,Uganda,1.0,False
30509,,Gambia,1.0,False
41093,1.0,Tunisia,2.0,True
9829,0.7,Nauru,1.0,False
25988,1.0,Russian Federation,2.0,False
23614,1.0,Ecuador,4.0,True
14616,0.5,Marshall Islands,1.0,True
24425,1.0,Mauritania,2.0,True
12401,1.0,Rwanda,2.0,False
32476,1.0,French Guiana,1.0,True
10204,1.0,Nicaragua,5.0,True
45546,1.0,Cape Verde,19.0,True
17703,1.0,Marshall Islands,1.0,False
42375,,Kenya,1.0,False
38363,1.0,Uganda,1.0,True
29648,,Guinea,1.0,True
19576,1.0,Micronesia,2.0,True
42686,,,1.0,True
8930,,Turkmenistan,2.0,True
293,1.0,Lebanon,1.0,False
9042,0.57,Russian Federation,2.0,False
36853,1.0,Guinea,1.0,False
44853,1.0,Lebanon,2.0,False
25856,,Vanuatu,4.0,True
14210,1.0,Finland,1.0,False
45741,1.0,Uzbekistan,6.0,True
9029,,Andorra,2.0,True
4038,,Micronesia,1.0,True
28458,1.0,Turkmenistan,6.0,False
24088,,Russian Federation,1.0,True
9708,,Lebanon,2.0,True
49956,,Russian Federation,1.0,False
24133,1.0,Cuba,1.0,True
46586,1.0,Bosnia and Herzegovina,12.0,False
46586,1.0,Bosnia and Herzegovina,12.0,False
46586,1.0,Bosnia and Herzegovina,12.0,False
46586,1.0,Bosnia and Herzegovina,12.0,False
46586,1.0,Bosnia and Herzegovina,12.0,False
20550,,Tanzania,1.0,False
10680,,Anguilla,2.0,False
42897,,Brazil,1.0,False
4237,0.33,Holy See (Vatican City State),1.0,False
23322,1.0,French Guiana,2.0,True
20829,,Anguilla,1.0,True
13720,,Bouvet Island (Bouvetoya),3.0,True
10392,,Chad,1.0,False
42288,,,1.0,False
23215,1.0,Djibouti,2.0,False
17993,1.0,Zimbabwe,1.0,True
2717,,Uzbekistan,3.0,False
19033,0.25,Zimbabwe,1.0,False
7676,,Russian Federation,1.0,False
28911,,,1.0,False
42458,0.97,Indonesia,14.0,True
6396,1.0,Indonesia,1.0,True
37718,,Barbados,1.0,True
39724,0.86,Sao Tome and Principe,2.0,False
21591,1.0,Kiribati,1.0,True
21229,1.0,Pakistan,10.0,True
21229,1.0,Pakistan,10.0,True
21229,1.0,Pakistan,10.0,True
21229,1.0,Pakistan,10.0,True
21229,1.0,Pakistan,10.0,True
21229,1.0,Pakistan,10.0,True
21229,1.0,Pakistan,10.0,True
21229,1.0,Pakistan,10.0,True
21229,1.0,Pakistan,10.0,True
40281,1.0,,3.0,False
32659,1.0,Cuba,1.0,True
11428,,Kenya,1.0,False
10204,1.0,Nicaragua,5.0,True
11616,1.0,Uzbekistan,12.0,True
30107,1.0,Venezuela,2.0,True
36659,1.0,Anguilla,2.0,True
9754,1.0,Brazil,6.0,False
34610,,Gambia,2.0,False
7240,1.0,,1.0,True
20343,,Togo,4.0,False
46586,1.0,Bosnia and Herzegovina,12.0,False
13796,1.0,Kiribati,2.0,True
5203,,Grenada,1.0,True
31686,1.0,Finland,1.0,True
16130,1.0,Ghana,3.0,True
8654,1.0,Christmas Island,3.0,False
25615,0.75,French Polynesia,1.0,True
32383,1.0,Marshall Islands,1.0,False
34784,0.6,Faroe Islands,19.0,True
18105,1.0,Gambia,7.0,True
34234,0.0,Zimbabwe,2.0,True
26099,0.99,Reunion,15.0,False
8605,0.9,Estonia,4.0,True
47708,,Bosnia and Herzegovina,1.0,False
38347,1.0,El Salvador,1.0,False
14971,,Estonia,1.0,False
42458,0.97,Indonesia,14.0,True
48535,1.0,El Salvador,2.0,False
46667,1.0,United Kingdom,1.0,False
14372,0.0,Ecuador,1.0,True
31602,,French Guiana,1.0,True
7411,,,1.0,False
19521,1.0,United Kingdom,3.0,True
20542,0.8,Kenya,7.0,True
20542,0.8,Kenya,7.0,True
43862,,Chile,1.0,True
37392,1.0,Micronesia,7.0,True
11048,,Bosnia and Herzegovina,1.0,True
1499,1.0,Tonga,2.0,True
12004,1.0,,1.0,False
10954,1.0,Uganda,2.0,False
16083,1.0,Guinea,2.0,False
18944,0.8,Indonesia,2.0,False
36985,1.0,Kiribati,7.0,True
36985,1.0,Kiribati,7.0,True
3902,1.0,Papua New Guinea,3.0,True
19300,,Costa Rica,1.0,False
36411,1.0,Brazil,3.0,False
36411,1.0,Brazil,3.0,False
36411,1.0,Brazil,3.0,False
6896,,Barbados,2.0,True
10818,,Cape Verde,1.0,False
7,,Puerto Rico,1.0,False
15164,1.0,Tanzania,2.0,True
23891,0.9,Zimbabwe,3.0,True
40632,,Puerto Rico,1.0,False
42754,,Gambia,1.0,False
17306,0.92,Micronesia,4.0,True
9207,,Marshall Islands,2.0,True
17306,0.92,Micronesia,4.0,True
7175,1.0,Zimbabwe,1.0,True
263,,Anguilla,1.0,False
9833,,,1.0,False
15164,1.0,Tanzania,2.0,True
12046,,,1.0,True
17682,1.0,Niue,1.0,False
34538,,Togo,1.0,False
47295,1.0,Niue,1.0,True
12752,,Zimbabwe,2.0,False
21191,,Nauru,1.0,False
44495,,Gambia,1.0,False
44446,1.0,Costa Rica,3.0,True
15472,1.0,Niue,2.0,True
34782,0.9,Libyan Arab Jamahiriya,1.0,True
26099,0.99,Reunion,15.0,False
2042,0.9,Gambia,7.0,False
2042,0.9,Gambia,7.0,False
23614,1.0,Ecuador,4.0,True
24190,,Jersey,1.0,True
39809,1.0,Costa Rica,1.0,True
40832,,Faroe Islands,2.0,False
40832,,Faroe Islands,2.0,False
38751,,Greenland,1.0,False
3866,1.0,Indonesia,8.0,True
17609,,,1.0,True
21341,0.8,Tonga,1.0,False
45161,1.0,Togo,2.0,True
8238,0.91,Barbados,15.0,True
42901,0.75,Lebanon,1.0,True
1420,1.0,Afghanistan,2.0,False
21318,1.0,Russian Federation,2.0,True
4221,,Niue,1.0,False
4086,,French Guiana,1.0,False
37803,1.0,Guinea,1.0,False
1747,,Gambia,1.0,True
674,1.0,Gibraltar,4.0,False
20542,0.8,Kenya,7.0,True
20542,0.8,Kenya,7.0,True
16095,0.85,Isle of Man,2.0,True
31379,1.0,France,5.0,True
34203,1.0,Uzbekistan,2.0,True
14369,,Micronesia,2.0,True
30216,0.98,Maldives,34.0,False
40235,,Guinea,1.0,True
49609,1.0,Niue,3.0,True
29112,1.0,Chad,2.0,False
1566,,Kiribati,1.0,False
34259,1.0,Sao Tome and Principe,2.0,True
3131,1.0,Tanzania,3.0,False
8442,1.0,Tunisia,2.0,True
45987,1.0,Jersey,6.0,True
425,,,1.0,False
1594,,Lebanon,1.0,False
46896,1.0,Zimbabwe,1.0,True
6546,0.8,Bouvet Island (Bouvetoya),1.0,False
26172,,Rwanda,1.0,False
47385,1.0,Cape Verde,2.0,True
7759,,Palestinian Territory,1.0,False
41880,,China,2.0,False
17490,,Gambia,1.0,False
13269,1.0,Anguilla,3.0,False
13269,1.0,Anguilla,3.0,False
39724,0.86,Sao Tome and Principe,2.0,False
38426,1.0,Turks and Caicos Islands,1.0,False
50052,1.0,Finland,1.0,True
34126,1.0,French Guiana,1.0,True
19648,,,1.0,False
1890,,Isle of Man,1.0,False
3777,1.0,Kiribati,1.0,True
14340,1.0,Isle of Man,5.0,True
47152,,Isle of Man,2.0,False
40390,1.0,Marshall Islands,2.0,True
20417,,,1.0,False
19289,,Senegal,2.0,True
34259,1.0,Sao Tome and Principe,2.0,True
4708,,Uzbekistan,1.0,True
6053,,Sao Tome and Principe,1.0,True
34610,,Gambia,2.0,False
1706,,,1.0,False
3080,1.0,Lithuania,2.0,True
23402,,Zimbabwe,1.0,False
24389,1.0,,2.0,True
24389,1.0,,2.0,True
46789,,Jersey,1.0,True
27555,,United Kingdom,1.0,False
21457,1.0,Russian Federation,4.0,True
38689,1.0,United Kingdom,6.0,True
32419,,Greenland,2.0,False
48874,1.0,Somalia,4.0,True
37343,0.75,Ecuador,4.0,True
41382,1.0,Kiribati,1.0,False
17725,,,1.0,False
12436,1.0,Uganda,1.0,False
34107,,Costa Rica,1.0,False
45741,1.0,Uzbekistan,6.0,True
2452,,French Guiana,1.0,True
10950,1.0,Greenland,1.0,False
11644,1.0,Isle of Man,1.0,False
30197,1.0,Micronesia,1.0,True
3939,0.9,,3.0,False
48605,1.0,Niue,3.0,True
35803,1.0,Jersey,2.0,False
27316,1.0,Puerto Rico,5.0,False
9748,,,1.0,False
38074,,Niue,1.0,False
13295,1.0,Denmark,4.0,False
27316,1.0,Puerto Rico,5.0,False
33503,,Anguilla,1.0,True
20272,,Jersey,1.0,False
46217,1.0,United Kingdom,4.0,False
28454,1.0,Kiribati,3.0,False
21101,1.0,Holy See (Vatican City State),1.0,False
22358,,Vanuatu,3.0,False
43807,1.0,Palestinian Territory,4.0,False
43807,1.0,Palestinian Territory,4.0,False
43807,1.0,Palestinian Territory,4.0,False
26729,,Kiribati,2.0,False
15120,1.0,El Salvador,1.0,False
21248,,Guinea,1.0,False
35634,,Costa Rica,1.0,False
45819,0.5,Gambia,1.0,False
44581,1.0,Niger,2.0,False
34753,1.0,El Salvador,1.0,True
3686,,United Kingdom,1.0,False
47844,1.0,Kiribati,3.0,True
47152,,Isle of Man,2.0,False
34510,1.0,Jersey,2.0,True
45987,1.0,Jersey,6.0,True
45987,1.0,Jersey,6.0,True
46132,1.0,Croatia,1.0,True
20649,,,1.0,True
1539,1.0,Micronesia,3.0,False
